host,drug_class,rural_arg_gbp,urban_arg_gbp
"chicken","amino",19.27097,28.75792
"chicken","beta",8.7881,12.98106
"chicken","folate",10.28541,9.524197
"chicken","fosfo",.3259285,.7541122
"chicken","glyco",.9396195,.0269112
"chicken","mls",104.6318,125.7225
"chicken","multi",5.230793,12.36996
"chicken","nitro",0,2.417031
"chicken","pheni",2.784979,3.137001
"chicken","pleur",0,.3549753
"chicken","quino",1.292985,11.77069
"chicken","stero",0,.1464442
"chicken","tetra",253.9503,507.36
"goat","amino",.0787472,2.365405
"goat","beta",.4122111,6.314663
"goat","folate",0,1.094082
"goat","fosfo",0,0
"goat","glyco",.0413746,.2533602
"goat","mls",3.151125,9.646134
"goat","multi",.4505327,.3644921
"goat","nitro",0,.0780487
"goat","pheni",0,0
"goat","pleur",0,0
"goat","quino",.0674534,.0685393
"goat","stero",0,0
"goat","tetra",16.19262,64.84743
"human","amino",4.856918,19.82589
"human","beta",157.8759,89.9902
"human","folate",3.135267,13.18239
"human","fosfo",1.246708,1.213522
"human","glyco",0,.3700221
"human","mls",108.3585,78.01733
"human","multi",4.640779,2.579401
"human","nitro",3.316064,10.98111
"human","pheni",.6603554,2.637415
"human","pleur",0,0
"human","quino",3.879908,6.624005
"human","stero",0,0
"human","tetra",235.8978,333.2785
