Gene_accession no.,Class,amr_gene,amr_allele,Phenotype,PMID,Mechanism of resistance,Notes,Required_gene,Reference
ant_2--_-Ia_1_X04555,Aminoglycoside,aadB,ant(2'')-Ia,"Gentamicin, Tobramycin",3024112,Enzymatic modification,Alternative name aadB,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_2--_-Ia_2_JF826500,Aminoglycoside,aadB,ant(2'')-Ia,"Gentamicin, Tobramycin",22271862,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_2--_-Ia_3_X74412,Aminoglycoside,aadB,ant(2'')-Ia,"Gentamicin, Tobramycin",unpublished,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_2--_-Ia_4_AF458082,Aminoglycoside,aadB,ant(2'')-Ia,"Gentamicin, Tobramycin",12384364,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_2--_-Ia_5_AY139594,Aminoglycoside,aadB,ant(2'')-Ia,"Gentamicin, Tobramycin",19719593,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_2--_-Ia_6_AJ871915,Aminoglycoside,aadB,ant(2'')-Ia,"Gentamicin, Tobramycin",unpublished,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_2--_-Ia_7_DQ018384,Aminoglycoside,aadB,ant(2'')-Ia,"Gentamicin, Tobramycin",15837385,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_2--_-Ia_8_AY920928,Aminoglycoside,aadB,ant(2'')-Ia,"Gentamicin, Tobramycin",16048994,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_2--_-Ia_9_HM367610,Aminoglycoside,aadB,ant(2'')-Ia,"Gentamicin, Tobramycin",21873033,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_2--_-Ia_10_HM367617,Aminoglycoside,aadB,ant(2'')-Ia,"Gentamicin, Tobramycin",21873033,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_2--_-Ia_11_HM367620,Aminoglycoside,aadB,ant(2'')-Ia,"Gentamicin, Tobramycin",21873033,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_2--_-Ia_12_HQ880250,Aminoglycoside,aadB,ant(2'')-Ia,"Gentamicin, Tobramycin",unpublished,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_2--_-Ia_13_DQ176450,Aminoglycoside,aadB,ant(2'')-Ia,"Gentamicin, Tobramycin",16304199,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_2--_-Ia_14_DQ266447,Aminoglycoside,aadB,ant(2'')-Ia,"Gentamicin, Tobramycin",unpublished,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_2--_-Ia_15_EF205594,Aminoglycoside,aadB,ant(2'')-Ia,"Gentamicin, Tobramycin",unpublished,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_2--_-Ia_16_HQ386848,Aminoglycoside,aadB,ant(2'')-Ia,"Gentamicin, Tobramycin",unpublished,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_2--_-Ia_17_JTTZ01000034,Aminoglycoside,aadB,ant(2'')-Ia,"Gentamicin, Tobramycin",unpublished,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_2--_-Ia_19_GQ466184,Aminoglycoside,aadB,ant(2'')-Ia,"Gentamicin, Tobramycin",unpublished,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_2--_-Ia_20_AY139599,Aminoglycoside,aadB,ant(2'')-Ia,"Gentamicin, Tobramycin",19719593,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
ant_3--_-Ia_1_X02340,Aminoglycoside,aadA,aadA1,Streptomycin,8385262,Enzymatic modification,"Alternative name aadA, aad(3')(9), aadA1, aadA1a",,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA1_2_FJ591054,Aminoglycoside,aadA,aadA1,Streptomycin,19243438,Enzymatic modification,Alternative name ant(3'')-Ia,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA1_3_JQ414041,Aminoglycoside,aadA,aadA1,Streptomycin,23180481,Enzymatic modification,Alternative name ant(3'')-Ia,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA1_4_JQ480156,Aminoglycoside,aadA,aadA1,Streptomycin,22486636,Enzymatic modification,Alternative name ant(3'')-Ia,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA1_5_JX185132,Aminoglycoside,aadA,aadA1,Streptomycin,23934739,Enzymatic modification,Alternative name ant(3'')-Ia,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA1b_1_M95287,Aminoglycoside,aadA,aadA1,Streptomycin,10673049,Enzymatic modification,Alternative name aadA2,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA2_1_NC_010870,Aminoglycoside,aadA,aadA2,Streptomycin,17526756,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA2_2_JQ364967,Aminoglycoside,aadA,aadA2,Streptomycin,22511964,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA2b_1_D43625,Aminoglycoside,aadA,aadA2,Streptomycin,85862590,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
aadA3_1_AF047479,Aminoglycoside,aadA,aadA3,Streptomycin,10673049,Enzymatic modification,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2992599/pdf/nihms-231782.pdf; https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3202223/pdf/fmicb-02-00203.pdf
